"Id", "date_val"
"10248", "1996-07-04"
"10249", "1996-07-04"
"10250", "1996-07-04"
"10251", "1996-07-04"
"10252", "1996-07-04"
"10253", "1996-07-04"
"10254", "1996-07-04"
"10255", "1996-07-04"
"10256", "1996-07-04"
"10257", "1996-07-04"
"10258", "1996-07-04"
"10259", "1996-07-04"
"10260", "1996-07-04"
"10261", "1996-07-04"
"10262", "1996-07-04"
"10263", "1996-07-04"
"10264", "1996-07-04"
"10265", "1996-07-04"
"10266", "1996-07-04"
"10267", "1996-07-04"
"10268", "1996-07-04"
"10269", "1996-07-04"
"10270", "1996-07-04"
"10271", "1996-07-04"
"10272", "1996-07-04"
"10273", "1996-07-04"
"10274", "1996-07-04"
"10275", "1996-07-04"
"10276", "1996-07-04"
"10277", "1996-07-04"
"10278", "1996-07-04"
"10279", "1996-07-04"
"10280", "1996-07-04"
"10281", "1996-07-04"
"10282", "1996-07-04"
"10283", "1996-07-04"
"10284", "1996-07-04"
"10285", "1996-07-04"
"10286", "1996-07-04"
"10287", "1996-07-04"
"10288", "1996-07-04"
"10289", "1996-07-04"
"10290", "1996-07-04"
"10291", "1996-07-04"
"10292", "1996-07-04"
"10293", "1996-07-04"
"10294", "1996-07-04"
"10295", "1996-07-04"
"10296", "1996-07-04"
"10297", "1996-07-04"
"10298", "1996-07-04"
"10299", "1996-07-04"
"10300", "1996-07-04"
"10301", "1996-07-04"
"10302", "1996-07-04"
"10303", "1996-07-04"
"10304", "1996-07-04"
"10305", "1996-07-04"
"10306", "1996-07-04"
"10307", "1996-07-04"
"10308", "1996-07-04"
"10309", "1996-07-04"
"10310", "1996-07-04"
"10311", "1996-07-04"
"10312", "1996-07-04"
"10313", "1996-07-04"
"10314", "1996-07-04"
"10315", "1996-07-04"
"10316", "1996-07-04"
"10317", "1996-07-04"
"10318", "1996-07-04"
"10319", "1996-07-04"
"10320", "1996-07-04"
"10321", "1996-07-04"
"10322", "1996-07-04"
"10323", "1996-07-04"
"10324", "1996-07-04"
"10325", "1996-07-04"
"10326", "1996-07-04"
"10327", "1996-07-04"
"10328", "1996-07-04"
"10329", "1996-07-04"
"10330", "1996-07-04"
"10331", "1996-07-04"
"10332", "1996-07-04"
"10333", "1996-07-04"
"10334", "1996-07-04"
"10335", "1996-07-04"
"10336", "1996-07-04"
"10337", "1996-07-04"
"10338", "1996-07-04"
"10339", "1996-07-04"
"10340", "1996-07-04"
"10341", "1996-07-04"
"10342", "1996-07-04"
"10343", "1996-07-04"
"10344", "1996-07-04"
"10345", "1996-07-04"
"10346", "1996-07-04"
"10347", "1996-07-04"
"10348", "1996-07-04"
"10349", "1996-07-04"
"10350", "1996-07-04"
"10351", "1996-07-04"
"10352", "1996-07-04"
"10353", "1996-07-04"
"10354", "1996-07-04"
"10355", "1996-07-04"
"10356", "1996-07-04"
"10357", "1996-07-04"
"10358", "1996-07-04"
"10359", "1996-07-04"
"10360", "1996-07-04"
"10361", "1996-07-04"
"10362", "1996-07-04"
"10363", "1996-07-04"
