"Id", "Discount"
"10250", "0.15"
"10250", "0.15"
"10254", "0.15"
"10254", "0.15"
"10258", "0.2"
"10258", "0.2"
"10258", "0.2"
"10260", "0.25"
"10260", "0.25"
"10260", "0.25"
"10262", "0.2"
"10263", "0.25"
"10263", "0.25"
"10263", "0.25"
"10264", "0.15"
"10267", "0.15"
"10267", "0.15"
"10279", "0.25"
"10284", "0.25"
"10284", "0.25"
"10284", "0.25"
"10285", "0.2"
"10285", "0.2"
"10285", "0.2"
"10287", "0.15"
"10287", "0.15"
"10298", "0.25"
"10298", "0.25"
"10324", "0.15"
"10324", "0.15"
"10324", "0.15"
"10324", "0.15"
"10327", "0.2"
"10327", "0.2"
"10327", "0.2"
"10327", "0.2"
"10330", "0.15"
"10330", "0.15"
"10332", "0.2"
"10332", "0.2"
"10332", "0.2"
"10335", "0.2"
"10335", "0.2"
"10335", "0.2"
"10335", "0.2"
"10341", "0.15"
"10342", "0.2"
"10342", "0.2"
"10342", "0.2"
"10342", "0.2"
"10344", "0.25"
"10347", "0.15"
"10347", "0.15"
"10348", "0.15"
"10352", "0.15"
"10353", "0.2"
"10353", "0.2"
"10357", "0.2"
"10357", "0.2"
"10369", "0.25"
"10370", "0.15"
"10370", "0.15"
"10371", "0.2"
"10372", "0.25"
"10372", "0.25"
"10372", "0.25"
"10372", "0.25"
"10373", "0.2"
"10373", "0.2"
"10377", "0.15"
"10377", "0.15"
"10385", "0.2"
"10385", "0.2"
"10385", "0.2"
"10388", "0.2"
"10388", "0.2"
"10393", "0.25"
"10393", "0.25"
"10393", "0.25"
"10393", "0.25"
"10397", "0.15"
"10397", "0.15"
"10403", "0.15"
"10403", "0.15"
"10411", "0.2"
"10411", "0.2"
"10411", "0.2"
"10417", "0.25"
"10417", "0.25"
"10421", "0.15"
"10421", "0.15"
"10421", "0.15"
"10424", "0.2"
"10424", "0.2"
"10424", "0.2"
"10425", "0.25"
"10425", "0.25"
"10429", "0.25"
"10430", "0.2"
"10430", "0.2"
"10431", "0.25"
"10431", "0.25"
"10431", "0.25"
"10434", "0.15"
"10438", "0.2"
"10438", "0.2"
"10438", "0.2"
"10440", "0.15"
"10440", "0.15"
"10440", "0.15"
"10440", "0.15"
"10443", "0.2"
"10450", "0.2"
"10450", "0.2"
"10454", "0.2"
"10454", "0.2"
"10454", "0.2"
"10456", "0.15"
"10456", "0.15"
"10460", "0.25"
"10460", "0.25"
"10461", "0.25"
"10461", "0.25"
"10461", "0.25"
"10464", "0.2"
"10464", "0.2"
"10469", "0.15"
"10469", "0.15"
"10469", "0.15"
"10475", "0.15"
"10475", "0.15"
"10475", "0.15"
"10477", "0.25"
"10477", "0.25"
"10487", "0.25"
"10488", "0.2"
"10489", "0.25"
"10491", "0.15"
"10491", "0.15"
"10507", "0.15"
"10507", "0.15"
"10511", "0.15"
"10511", "0.15"
"10511", "0.15"
"10512", "0.15"
"10512", "0.15"
"10512", "0.15"
"10512", "0.15"
"10513", "0.2"
"10513", "0.2"
"10513", "0.2"
"10515", "0.15"
"10515", "0.15"
"10515", "0.15"
"10522", "0.2"
"10522", "0.2"
"10522", "0.2"
"10526", "0.15"
"10526", "0.15"
"10528", "0.2"
"10534", "0.2"
"10534", "0.2"
"10536", "0.25"
"10536", "0.25"
"10543", "0.15"
"10543", "0.15"
"10547", "0.15"
"10548", "0.25"
"10549", "0.15"
"10549", "0.15"
"10549", "0.15"
"10551", "0.15"
"10551", "0.15"
"10555", "0.2"
"10555", "0.2"
"10555", "0.2"
"10555", "0.2"
"10555", "0.2"
"10560", "0.25"
"10566", "0.15"
"10566", "0.15"
"10567", "0.2"
"10567", "0.2"
"10569", "0.2"
"10571", "0.15"
"10571", "0.15"
"10581", "0.2"
"10583", "0.15"
"10583", "0.15"
"10586", "0.15"
